"","sample","sampleLong","community","Source","aluminum","arsenic","barium","beryllium","cadmium","chromium","manganese","nickel","lead","zinc","copper","iron","vanadium","selenium","silver","tin","antimony","cobalt","molybdenum"
"1","NOGM100","NOGM100IW-A112022-DM","Nogales Sonora MX","Public/ municipal",19.43,2.69,13.15,0.01026,0.005803,0.4983,0.299,0.299,0.299,6.677,10.76,12.16,3.588,0.4983,0.0062,0.045,0.8969,0.017,0.3986
"2","NOGM101","NOGM101IW-A112022-DM","Nogales Sonora MX","Public/ municipal",21.52,3.1,14.81,0.01026,0.005803,0.6006,0.3003,0.3,0.3003,5.005,7.207,5.706,4.104,0.5005,0.0062,0.045,1.602,0.017,0.5005
"3","NOGM102","NOGM102IW-A112022-DM","Nogales Sonora MX","Public/ municipal",17.67,3.29,14.98,0.01026,0.005803,0.4992,0.2995,0.3,0.2995,9.285,6.29,6.09,4.193,0.3994,0.0062,0.045,0.8986,0.017,0.4992
"4","NOGM103","NOGM103IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.72,3.22,15.02,0.01026,0.005803,0.5039,0.2016,0.302,0.3023,4.333,6.147,6.147,4.132,0.3023,0.0062,0.045,1.008,0.017,0.5039
"5","NOGM104","NOGM104IW-A112022-DM","Nogales Sonora MX","Public/ municipal",14.7,3.28,14.5,0.01026,0.005803,0.3972,0.3972,0.397,0.1986,45.28,1.688,4.469,4.469,0.4965,0.0062,0.045,1.192,0.017,0.3972
"6","NOGM105","NOGM105IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.66,3.27,14.96,0.01026,0.005803,0.5946,0.2973,0.694,0.2973,7.234,5.847,4.757,4.162,0.3964,0.0062,0.045,0.991,0.017,0.4955
"7","NOGM106","NOGM106IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.2,3.1,14.8,0.01026,0.005803,0.4998,0.1999,0.3,0.2999,7.897,7.298,6.098,4.299,0.3999,0.0062,0.045,1.3,0.017,0.4998
"8","NOGM107","NOGM107IW-A112022-DM","Nogales Sonora MX","Public/ municipal",19.89,3.18,14.92,0.01026,0.005803,0.4973,0.4973,0.298,0.2984,14.62,6.067,25.36,4.078,0.09946,0.0062,0.045,1.094,0.017,0.4973
"9","NOGM108","NOGM108IW-A112022-DM","Nogales Sonora MX","Public/ municipal",16.49,3.3,15.2,0.01026,0.005803,0.4998,0.2999,0.4,0.2999,10.8,5.998,24.19,4.199,0.3999,0.0062,0.045,1.4,0.017,0.3999
"10","NOGM109","NOGM109IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.24,3.51,15.14,0.01026,0.005803,0.5013,0.2005,0.401,0.3008,3.91,6.015,5.213,4.211,0.9023,0.0062,0.045,1.103,0.017,0.401
"11","NOGM110","NOGM110IW-A112022-DM","Nogales Sonora MX","Public/ municipal",14.91,3.62,17.54,0.001442,0.001488,0.4093,0.1098,0.36,0.0599,7.996,0.9284,5.471,4.163,0.569,0.03993,0.3195,1.967,0.07986,0.4592
"12","NOGM111","NOGM111IW-A112022-DM","Nogales Sonora MX","Public/ municipal",72.96,3.46,27.29,0.001442,0.01006,1.197,4.435,0.16,0.4425,10.06,8.569,47.54,6.517,1.408,0.04023,0.0704,1.458,0.0704,2.343
"13","NOGM112","NOGM112IW-A112022-DM","Nogales Sonora MX","Pipa",34.96,3.64,28.3,0.01004,0.001488,1.245,1.255,0.14,0.1004,10.32,1.616,22.46,7.098,1.506,0.03012,0.1004,2.57,0.06024,2.58
"14","NOGM113","NOGM113IW-A112022-DM","Nogales Sonora MX","Pipa",22.45,4.03,29.38,0.001442,0.009989,1.279,1.229,0.22,0.0899,14.08,2.567,14.67,7.093,1.478,0.03996,0.08991,2.118,0.05994,2.597
"15","NOGM114","NOGM114IW-A112022-DM","Nogales Sonora MX","Public/ municipal",11.94,2.85,38.52,0.001442,0.001488,2.084,0.3589,0.34,0.06979,8.723,0.7377,27.42,6.909,0.4985,0.04985,0.06979,1.515,0.05982,0.9272
"16","NOGM115","NOGM115IW-A112022-DM","Nogales Sonora MX","Pipa",22.69,0.49,142.9,0.01998,0.009988,0.1298,6.172,0.51,0.3596,150.6,4.794,53.15,0.5993,0.3995,0.04994,0.1398,1.628,0.1498,1.608
"17","NOGM116","NOGM116IW-A112022-DM","Nogales Sonora MX","Pipa",13.11,0.53,137.6,0.009988,0.001488,0.1298,1.628,0.36,0.3895,33.67,3.436,10.64,0.5494,0.02996,0.02996,0.1298,1.179,0.1298,1.648
"18","NOGM117","NOGM117IW-A112022-DM","Nogales Sonora MX","Pipa",46.93,0.44,134.7,0.009996,0.02999,0.13,6.698,0.79,0.1599,92.24,2.809,49.86,0.5598,0.06997,0.02999,1.08,1.01,0.1799,1.669
"19","NOGM118","NOGM118IW-A112022-DM","Nogales Sonora MX","Public/ municipal",13.08,3.74,17.56,0.001442,0.001488,0.4291,0.1597,0.37,0.07983,12.17,1.128,6.905,4.241,0.2295,0.03992,0.04989,1.597,0.07983,0.4291
"20","NOGM119","NOGM119IW-A112022-DM","Nogales Sonora MX","Pipa",17.27,0.45,139.7,0.02019,0.0101,0.1312,3.331,0.64,0.08076,139.9,4.189,19.05,0.535,0.323,0.04038,0.06057,2.039,0.1413,1.625
"21","NOGM120","NOGM-120IW-A112022-DM","Nogales Sonora MX","Public/ municipal",14.64,3.11,18.65,0.000863,0.002307,0.5013,0.3008,0.4,0.5013,11.33,7.52,11.23,3.61,0.6016,0.0062,0.045,0.8021,0.1003,0.3008
"22","NOGM121","NOGM-121IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.66,3.11,19.07,0.000863,0.002307,0.4015,0.3011,0.3,0.3011,26.9,9.334,4.015,3.613,0.6022,0.0062,0.045,1.305,0.1004,0.3011
"23","NOGM122","NOGM-122IW-A112022-DM","Nogales Sonora MX","Public/ municipal",16.46,3.07,18.91,0.000863,0.002307,0.409,0.2045,0.31,0.3067,7.259,5.112,6.032,3.476,0.1022,0.0062,0.045,1.227,0.1022,0.3067
"24","NOGM123","NOGM-123IW-A112022-DM","Nogales Sonora MX","Public/ municipal",18.05,0.71,129.6,0.000863,0.002307,0.2017,0.3025,0.6,0.4033,11.49,32.47,3.831,0.8066,1.311,0.0062,0.045,1.916,0.1008,0.9074
"25","NOGM124","NOGM-124IW-A112022-DM","Nogales Sonora MX","Public/ municipal",17.48,3.33,18.9,0.000863,0.002307,0.5053,0.3032,0.3,0.3032,9.499,3.234,7.074,3.638,1.415,0.0062,0.045,1.112,0.1011,0.3032
"26","NOGM125","NOGM-125IW-A112022-DM","Nogales Sonora MX","Public/ municipal",15.21,3.22,18.93,0.000863,0.002307,0.3021,0.2014,0.2,0.2014,13.59,3.122,5.538,3.625,0.6042,0.0062,0.045,1.611,0.1007,0.3021
"27","NOGM126","NOGM-126IW-A112022-DM","Nogales Sonora MX","Public/ municipal",16.28,0.61,131.4,0.000863,0.002307,0.1011,0.4044,0.3,0.5054,263.8,41.14,5.459,0.8087,1.011,0.0062,0.045,1.415,0.2022,1.011
