MRA_LAB_ID,Location,4:2 Fluorotelomer sulfonate (4:2 FTS),8:2 FTS,N-ethylperfluorooctanesulfonamidoacetic acid (NEtFOSAA),N-methylperfluorooctanesulfonamidoacetic acid (NMeFOSAA),Perfluorobutanoic acid (PFBA),Perfluorobutanesulfonic acid (PFBS),Perfluorodecanoic acid (PFDA),Perfluorodecanesulfonic acid (PFDS),Perfluorododecanoic acid (PFDoA),Perfluoroheptanoic acid (PFHpA),Perfluoro-1-heptanesulfonate (PFHpS),Perfluorohexanoic acid (PFHxA),Perfluorohexanesulfonic acid (PFHxS),Perfluorononanoic acid (PFNA),PFNS,Perfluorooctanoic acid (PFOA),Perfluorooctanesulfonic acid (PFOS),Perfluorooctanesulfonamide (FOSA),Perfluoropentanoic acid (PFPeA),Perfluoropentanesulfonic acid (PFPeS),Perfluorotetradecanoic acid (PFTeDA),Perfluorotridecanoic acid (PFTrDA),Perfluoroundecanoic acid (PFUdA),long chain,shortchain,pfca,pfsa,Fluorotelomer sulfonic acids,Perfluoroalkane sulfonamido substances,SumPFAS,Site,Type,pH,EC,Clay,Silt,Sand,Al,Co,Ni,Cu,Zn,Mo,Fe,Mn,As,Pb,Cd
GLMC _CTRL_PFAS_A002,Globe/Midland City,0,0,0,0,0.072,0.054,0.054,0.015,0.01,0.01,0,0.01,0.015,0.01,0,0.04,0.026,0.01,0,0.01,0,0,0.01,0.18999999999999997,0.15600000000000003,0.21600000000000003,0.11999999999999998,0,0.01,0.346,GLMC-Control1,Control,7.595,24.805,16.73,14.54,68.73,21454.91,13.86,32.57,48.43,68.57,0.19,20938.09,390.71,3.25,9.2,0.05
GLMC _CTRL_PFAS_A003,Globe/Midland City,0,0,0,0,0.148,0.137,0.073,0.016,0.011,0.011,0,0.011,0.055,0.056,0,0.044,0.236,0.031,0,0.011,0,0,0.036,0.5579999999999999,0.31800000000000006,0.39,0.455,0,0.031,0.876,GLMC-Control2,Control,7.67,74.375,12.88,12.35,74.77,19037.57,14.26,35.2,59.08,90.8,0.32,23377.09,405.21,2.8,9.7,0.08
IHCA _CTRL_PFAS_A001,Icehouse Canyon,0,0,0,0,0.164,0.228,0.05,0.016,0.024,0.01,0,0.021,0.1,0.037,0,0.042,0.367,0.01,0,0.01,0,0,0.034,0.68,0.43300000000000005,0.382,0.721,0,0.01,1.113,Icehouse-Control1,Control,8.485,98.775,5.74,13.45,80.81,14415.94,13.07,25.6,120.71,200.38,0.64,25488.98,1359.84,6.02,36.4,0.37
IHCA _CTRL_PFAS_A002,Icehouse Canyon,0,0,0,0,0.02,0.01,0.02,0.016,0.01,0.01,0,0.01,0.016,0.01,0,0.042,0.026,0.01,0,0.01,0,0,0.01,0.15999999999999998,0.060000000000000005,0.132,0.07799999999999999,0,0.01,0.22,Icehouse-Control2,Control,6.285,321.85,31.99,15.04,52.97,28502.52,12.2,24.02,65.37,55.19,0.36,27687.41,281.57,7.27,16.7,0.11
W002_20221031_PFS_A,Globe/Midland City,0.024,0.014,0.014,0.0095,0.08,0.178,0.02,0.014,0.042,0.0095,0.0095,0.0095,0.044,0.0095,0.014,0.039,0.024,0.021,0.0095,0.0095,0.033,0.014,0.02,0.3415000000000001,0.32000000000000006,0.28600000000000003,0.293,0.038,0.044500000000000005,0.6615,GLMC1,Nonresidential,7.54,227.85,0.98,12.59,86.43,11169.14,7.54,16.97,153.62,97.53,3,14218.39,245.43,4.74,16.5,0.37
W006_202210xx_PFS_A,Globe/Midland City,0.024,0.014,0.372,0.029,0.02,0.048,0.056,0.014,0.038,0.0095,0.0095,0.0095,0.05,0.0095,0.014,0.092,0.844,0.107,0.0095,0.0095,0.0095,0.014,0.025,1.6975000000000002,0.12999999999999998,0.29250000000000004,0.989,0.038,0.508,1.8275000000000006,GLMC2,Nonresidential,6.52,181.7,7.9,19.47,72.63,18222.01,8.03,17.94,515.99,348.84,3.91,21675.81,282.74,9.3,183.4,1.26
W007_202210xx_PFS_A,Miami,0.024,0.014,0.031,0.034,0.27,0.224,0.019,0.014,0.021,0.0095,0.0095,0.0095,0.014,0.0095,0.014,0.019,0.106,0.022,0.0095,0.0095,0.0095,0.014,0.0095,0.3600000000000001,0.5559999999999998,0.4000000000000001,0.39100000000000007,0.038,0.087,0.9159999999999999,Miami1,Nonresidential,6.06,1135,1.2,27.58,71.22,13160.16,8.6,17.79,1138.47,381.16,11.3,18529.56,552.64,31.94,596.3,1.56
W008_20221117_PFS_A,Miami,0.024,0.014,0.098,0.0095,0.109,0.483,0.206,0.014,0.156,0.0095,0.0095,0.0095,0.06,0.032,0.014,0.038,0.941,0.039,0.0095,0.0095,0.066,0.031,0.086,1.8140000000000003,0.6539999999999998,0.7524999999999998,1.5310000000000001,0.038,0.14650000000000002,2.4680000000000004,Miami6,Nonresidential,7.565,217.55,2.74,11.69,85.57,7951.38,7.9,16.19,442.45,134.71,4.31,14658.52,334.71,5.03,32.4,0.68
W009_20221202_PFS_A,Miami,0.0095,0.029,0.068,0.047,0.106,0.02,0.03,0.06,0.036,0.033,0.024,0.05,0.139,1.07,0.033,0.014,0.407,5.29,0.118,0.037,0.033,0.0095,0.014,7.3035,0.3735,1.5135,0.7200000000000001,0.0385,5.404999999999999,7.677,Miami17,Nonresidential,6.115,89.535,7.67,34.02,58.31,13366.94,11.42,20.18,1282.75,1588.44,7.93,17961.84,489.53,12.65,229.2,2.79
W010_20221218_PFS_A ,Apache,0.01,0.031,0.072,1.42,0.01,0.109,0.178,0.044,0.179,0.021,0.01,0.01,0.04,0.054,0.01,0.016,0.042,0.13,0.081,0.01,0.01,0.01,0.016,2.262,0.251,0.585,0.265,0.041,1.6219999999999999,2.512999999999999,Apache,Nonresidential,7.805,104.76,0.66,11.88,87.46,4883.5,3.04,6,146.31,54.55,1.59,7170.8,229.47,5.43,11.9,0.17
W011_20230204_PFS_A,Globe/Midland City,0.024,0.016,0.022,0.011,0.022,0.018,0.22,0.024,0.014,0.018,0.023,0.014,0.014,0.01,0.014,0.025,3.6,0.016,0.02,0.018,0.018,0.01,0.02,4.0569999999999995,0.134,0.39100000000000007,3.7109999999999994,0.04,0.049,4.190999999999999,GLMC3,Nonresidential,8.55,131.45,7.55,8.47,83.98,16882.41,14.33,33.02,411.68,299.59,2.14,24957.2,1484.67,10.19,164.7,1.27
W012_20221129_PFS_A,Miami,0.0095,0.029,0.068,0.014,0.0095,0.02,0.0095,0.02,0.014,0.0095,0.0095,0.0095,0.0095,0.014,0.0095,0.014,0.039,0.024,0.0095,0.0095,0.0095,0.0095,0.014,0.30700000000000005,0.077,0.12249999999999997,0.117,0.0385,0.106,0.3840000000000001,Miami18,Nonresidential,7.065,507.8,4.44,34.84,60.72,11279.85,10.3,22.36,1756.05,455.83,14.45,16474.86,502.13,10.16,204.2,1.92
W014_20230131_PFS_A,Icehouse Canyon,2.8,0.02,5.2,0.035,0.028,0.016,0.038,0.034,0.035,0.036,0.022,0.021,0.028,0.021,0.022,0.4,0.024,0.016,0.027,0.038,0.03,0.027,0.016,5.968000000000001,2.9659999999999997,0.6790000000000002,0.18400000000000002,2.82,5.251,8.934000000000001,Icehouse1,Nonresidential,7.595,307.15,10.47,17.69,71.84,15491.19,12.04,22.86,60.29,222.53,0.84,22527.97,449.64,5.66,33.8,0.32
W015_20221117_PFS_A,Miami,0.024,0.014,0.169,0.0095,0.225,0.159,0.074,0.014,0.032,0.0095,0.0095,0.02,0.048,0.0095,0.014,0.038,0.377,0.025,0.0095,0.0095,0.0095,0.014,0.03,0.887,0.4565000000000001,0.4710000000000001,0.631,0.038,0.20350000000000001,1.3435000000000004,Miami7,Nonresidential,5.94,672.7,6.49,16.92,76.59,14768.34,11.03,24.32,419.37,569.82,2.83,22369.77,311.33,7.3,164.4,0.75
W016_20221117_PFS_A,Miami,0.024,0.014,0.031,0.021,0.177,0.299,0.053,0.014,0.031,0.0095,0.0095,0.03,0.061,0.024,0.014,0.038,0.262,0.0095,0.037,0.0095,0.0095,0.014,0.028,0.6335000000000002,0.586,0.45099999999999996,0.6689999999999999,0.038,0.0615,1.2195000000000003,Miami2,Nonresidential,7.84,161.65,4.36,8.85,86.79,9541.77,7.92,19.06,262.58,184.5,1.98,16161.31,305.88,5.8,29.6,0.35
