MRA_Lab_ID,Parameter,corrected,log_corrected
WAMI _CTRL_PFAS_A002,Perfluorobutanoic acid (PFBA),0.022,-3.816712825623821
WAMI _CTRL_PFAS_A002,Perfluorobutanesulfonic acid (PFBS),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluorodecanoic acid (PFDA),0.022,-3.816712825623821
WAMI _CTRL_PFAS_A002,Perfluorodecanesulfonic acid (PFDS),0.016,-4.135166556742356
WAMI _CTRL_PFAS_A002,Perfluorododecanoic acid (PFDoA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluoroheptanoic acid (PFHpA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluorohexanoic acid (PFHxA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluorohexanesulfonic acid (PFHxS),0.016,-4.135166556742356
WAMI _CTRL_PFAS_A002,Perfluorononanoic acid (PFNA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluorooctanoic acid (PFOA),0.044,-3.123565645063876
WAMI _CTRL_PFAS_A002,Perfluorooctanesulfonic acid (PFOS),0.067,-2.703062659591171
WAMI _CTRL_PFAS_A002,Perfluorooctanesulfonamide (FOSA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluoropentanesulfonic acid (PFPeS),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A002,Perfluoroundecanoic acid (PFUdA),0.011,-4.509860006183766
WAMI _CTRL_PFAS_A005,Perfluorobutanoic acid (PFBA),0.064,-2.7488721956224653
WAMI _CTRL_PFAS_A005,Perfluorobutanesulfonic acid (PFBS),0.207,-1.575036485716768
WAMI _CTRL_PFAS_A005,Perfluorodecanoic acid (PFDA),0.019,-3.9633162998156966
WAMI _CTRL_PFAS_A005,Perfluorodecanesulfonic acid (PFDS),0.014,-4.268697949366879
WAMI _CTRL_PFAS_A005,Perfluorododecanoic acid (PFDoA),0.0095,-4.656463480375642
WAMI _CTRL_PFAS_A005,Perfluoroheptanoic acid (PFHpA),0.064,-2.7488721956224653
WAMI _CTRL_PFAS_A005,Perfluorohexanoic acid (PFHxA),0.043,-3.146555163288575
WAMI _CTRL_PFAS_A005,Perfluorohexanesulfonic acid (PFHxS),0.922,-0.08121005542554317
WAMI _CTRL_PFAS_A005,Perfluorononanoic acid (PFNA),0.0095,-4.656463480375642
WAMI _CTRL_PFAS_A005,Perfluorooctanoic acid (PFOA),0.1,-2.3025850929940455
WAMI _CTRL_PFAS_A005,Perfluorooctanesulfonic acid (PFOS),0.059,-2.8302178350764176
WAMI _CTRL_PFAS_A005,Perfluorooctanesulfonamide (FOSA),0.021,-3.863232841258714
WAMI _CTRL_PFAS_A005,Perfluoropentanesulfonic acid (PFPeS),0.149,-1.903808973036678
WAMI _CTRL_PFAS_A005,Perfluoroundecanoic acid (PFUdA),0.0095,-4.656463480375642
WAMI _CTRL_PFAS_A006,Perfluorobutanoic acid (PFBA),0.055,-2.900422093749666
WAMI _CTRL_PFAS_A006,Perfluorobutanesulfonic acid (PFBS),0.151,-1.8904754421672127
WAMI _CTRL_PFAS_A006,Perfluorodecanoic acid (PFDA),0.02,-3.912023005428146
WAMI _CTRL_PFAS_A006,Perfluorodecanesulfonic acid (PFDS),0.014,-4.268697949366879
WAMI _CTRL_PFAS_A006,Perfluorododecanoic acid (PFDoA),0.01,-4.605170185988091
WAMI _CTRL_PFAS_A006,Perfluoroheptanoic acid (PFHpA),0.052,-2.9565115604007097
WAMI _CTRL_PFAS_A006,Perfluorohexanoic acid (PFHxA),0.037,-3.2968373663379125
WAMI _CTRL_PFAS_A006,Perfluorohexanesulfonic acid (PFHxS),0.708,-0.34531118528841737
WAMI _CTRL_PFAS_A006,Perfluorononanoic acid (PFNA),0.01,-4.605170185988091
WAMI _CTRL_PFAS_A006,Perfluorooctanoic acid (PFOA),0.081,-2.513306124309698
WAMI _CTRL_PFAS_A006,Perfluorooctanesulfonic acid (PFOS),0.055,-2.900422093749666
WAMI _CTRL_PFAS_A006,Perfluorooctanesulfonamide (FOSA),0.01,-4.605170185988091
WAMI _CTRL_PFAS_A006,Perfluoropentanesulfonic acid (PFPeS),0.108,-2.2256240518579173
WAMI _CTRL_PFAS_A006,Perfluoroundecanoic acid (PFUdA),0.01,-4.605170185988091
WAMI _CTRL_PFAS_A007,Perfluorobutanoic acid (PFBA),0.107,-2.234926444520231
WAMI _CTRL_PFAS_A007,Perfluorobutanesulfonic acid (PFBS),0.138,-1.9805015938249322
WAMI _CTRL_PFAS_A007,Perfluorodecanoic acid (PFDA),0.02,-3.912023005428146
