MRA_LAB_ID,11Cl-PF3OUdS,4:2 Fluorotelomer sulfonate (4:2 FTS),8:2 FTS,HFPO-DA,N-ethylperfluorooctanesulfonamidoacetic acid (NEtFOSAA),N-methylperfluorooctanesulfonamidoacetic acid (NMeFOSAA),Perfluorobutanoic acid (PFBA),Perfluorobutanesulfonic acid (PFBS),Perfluorodecanoic acid (PFDA),Perfluorodecanesulfonic acid (PFDS),Perfluorododecanoic acid (PFDoA),Perfluoroheptanoic acid (PFHpA),Perfluoro-1-heptanesulfonate (PFHpS),Perfluorohexanoic acid (PFHxA),Perfluorohexanesulfonic acid (PFHxS),Perfluorononanoic acid (PFNA),PFNS,Perfluorooctanoic acid (PFOA),Perfluorooctanesulfonic acid (PFOS),Perfluorooctanesulfonamide (FOSA),Perfluoropentanoic acid (PFPeA),Perfluoropentanesulfonic acid (PFPeS),Perfluorotetradecanoic acid (PFTeDA),Perfluorotridecanoic acid (PFTrDA),Perfluoroundecanoic acid (PFUdA)
W007_202210xx_PFS_A,0,0,0,0,0.031,0.034,0.27,0.224,0,0,0.021,0,0,0,0,0,0,0,0.106,0.022,0,0,0,0,0
W002_20221031_PFS_A,0,0,0,0,0,0,0.08,0.178,0,0,0.042,0,0,0,0.044,0,0,0,0,0.021,0,0,0.033,0,0.02
W006_202210xx_PFS_A,0,0,0,0,0.372,0.029,0,0.048,0.056,0,0.038,0,0,0,0.05,0,0,0.092,0.844,0.107,0,0,0,0,0.025
W016_20221117_PFS_A,0,0,0,0,0.031,0.021,0.177,0.299,0.053,0,0.031,0,0,0.03,0.061,0.024,0,0,0.262,0,0.037,0,0,0,0.028
W017_20221117_PFS_A,0,0,0.095,0,0.437,1.19,0,0.04,0.777,0,0.439,0.03,0,0.046,0,0.09,0,0.189,1.65,1.23,0.029,0,0.142,0.074,0.311
W018_20221118_PFS_A,0,0,0,1.91,0.175,0.033,0.41,0.812,1.41,0.065,2.76,0.037,0,0.052,0.201,0.347,0,0.269,0.564,0.059,0.078,0,1.7,0.944,1.13
W019_20221119_PFS_A,0,0,0,0,0.141,0,0.218,0.225,0.282,0.035,0.245,0,0.064,0.108,1.54,0.053,0,0,0.634,0.061,0.069,0,0.09,0.056,0.151
W008_20221117_PFS_A,0,0,0,0,0.098,0,0.109,0.483,0.206,0,0.156,0,0,0,0.06,0.032,0,0,0.941,0.039,0,0,0.066,0.031,0.086
W015_20221117_PFS_A,0,0,0,0,0.169,0,0.225,0.159,0.074,0,0.032,0,0,0.02,0.048,0,0,0,0.377,0.025,0,0,0,0,0.03
W011_20230204_PFS_A,NA,0,0,NA,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0
W043_20230204_PFS_A,NA,0,0,NA,0.34,0,0,0,0.33,0,0.24,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0
W044_20230203_PFS_A,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0
W045_20230204_PFS_A,NA,0,0,NA,0,0.68,2,0.77,0.62,0.38,0.48,0,0,0,0,0,0,0.33,4.8,0,0,0,0,0,0.36
W047_20230203_PFS_A,NA,0,0,NA,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W055_20230202_PFS_A,NA,0,0,NA,10,4.2,0,0,1.3,0.98,1.6,0,1.9,0,0,0,0,9.7,10,0.3,0,0,0.56,0,0.29
W058_20230204_PFS_A,NA,1.9,0,NA,3.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0
W059_20230203_PFS_A,NA,2,0,NA,2.6,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W014_20230131_PFS_A,NA,2.8,0,NA,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
W040_20230207_PFS_A,NA,2.1,0,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W053_20230206_PFS_A,NA,0,0,NA,0,0.3,8.2,0,0,2.6,0,0,0,1.8,0,0,0.22,0.62,0,0,0.25,0.32,0,0,0
W032_20230201_PFS_A,NA,0,0,NA,0,0.42,11,0.49,0,12,0.33,0,0.32,1,0.21,0,1.7,2,0,0,0.32,0.73,1.4,0,0
W060_20230204_PFS_A,NA,0,0,NA,0,0,0.24,0,0,0,0.44,0,0.28,0,0,0,0,2.9,0,0,0,0.31,0,0,0
W039_20230201_PFS_A,NA,0,0,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W041_20230203_PFS_A,NA,0,0,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W042_20230202_PFS_A,0.97,NA,0,NA,3.6,0,0,0,0,0,2.4,0,0.93,0,0,0,0,1.5,0,1,0,1.5,0,0.42,0.27
W010_20221218_PFS_A ,0.022,0,0,0,0,1.42,0,0.109,0.178,0.044,0.179,0.021,0,0,0.04,0.054,0,0,0,0.13,0.081,0,0,0,0
W022_20221216_PFS_A ,0.162,0,0,0,0,0.117,0,0.206,0.409,0.289,0.092,0.223,0,0,0,0.174,0.038,0,0,0.659,0.067,0,0,0.094,0.075
W023_20221218_PFS_A ,NA,0,0,0,0,0,0,0.309,0.495,0.056,0,0.034,0,0,0.026,0.102,0,0,0,0.146,0.041,0.031,0,0,0
W029_2023123_PFS_A,NA,0,0,NA,0,0,1.7,0,0,0.34,0.31,0,0,0.23,0,0,0,1.1,0,0,0,0,0,0,0
W030_2023123_PFS_A,NA,1.5,0,NA,0,0,61,0,0,15,0.59,0,6.6,1.2,0.32,0,1.5,0.33,0,0,0.67,0.42,1.3,3.7,2.1
W024_2023108_PFS-A,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
